Year,Rank,Rider,Time,Team
1922,38,Daniel Masson (FRA),"+ 65h 53' 41""",
1923,1,Henri Pélissier (FRA),"222h 15' 30""",Automoto
1923,2,Ottavio Bottecchia (ITA),"+ 30 '41""",Automoto
1923,3,Romain Bellenger (FRA),"+ 1h 04 '43""",Peugeot–Wolber
1923,4,Hector Tiberghien (BEL),"+ 1h 29 '16""",Peugeot–Wolber
1923,5,Arsène Alancourt (FRA),"+ 2h 06 '40""",Armor
1923,6,Henri Collé (SUI),"+ 2h 28 '43""",Griffon
1923,7,Léon Despontin (BEL),"+ 2h 39 '49""",Peugeot–Wolber
1923,8,Lucien Buysse (BEL),"+ 2h 40 '11""",Automoto
1923,9,Eugène Dhers (FRA),"+ 2h 59 '09""",Armor
1923,10,Marcel Huot (FRA),"+ 3h 16 '56""",Griffon
1923,11,Joseph Muller (FRA),"+ 3h 26 '46""",Peugeot-Wolber
1923,12,Ottavio Pratesi (ITA),"+ 3h 35 '06""",Touriste-Routier
1923,13,Félix Goethals (FRA),"+ 4h 21 '38""",Thomann
1923,14,Théophile Beeckman (BEL),"+ 5h 00 '04""",Griffon
1923,15,Joseph Normand (FRA),"+ 5h 09 '59""",Davy
1923,16,Gaston Degy (FRA),"+ 5h 35 '57""",Peugeot–Wolber
1923,17,Lucien Rich (FRA),"+ 6h 35 '06""",Christophe
1923,18,Paul Duboc (FRA),"+ 6h 56 '41""",Alleluia
1923,19,Camille Botte (BEL),"+ 7h 13 '56""",Touriste-Routier
1923,20,Georges Cuvelier (FRA),"+ 7h 30 '47""",Lapize
1923,21,Benjamin Mortier (BEL),"+ 8h 03 '43""",Christophe
1923,22,Alfons Standaert (BEL),"+ 8h 17 '38""",Thomann
1923,23,Francis Pélissier (FRA),"+ 9h 43 '12""",Automoto
1923,24,Henri Touzard (FRA),"+ 10h 00 '00""",Touriste-Routier
1923,25,Robert Jacquinot (FRA),"+ 10h 41 '52""",Peugeot–Wolber
1923,26,Carlo Longoni (ITA),"+ 11h 00 '47""",Christophe
1923,27,Charles Parel (SUI),"+ 11h 05 '53""",Touriste-Routier
1923,28,Louis Mottiat (BEL),"+ 12h 01 '57""",Alcyon
1923,29,Giovanni Rossignoli (ITA),"+ 13h 18 '28""",Touriste-Routier
1923,30,Pierre Hudsyn (BEL),"+ 17h 20 '20""",Touriste-Routier
1923,31,Edgard Roy (FRA),"+ 19h 01 '46""",Touriste-Routier
1923,32,Antoine Riera (FRA),"+ 22h 05 '39""",Touriste-Routier
1923,33,Charles Cento (FRA),"+ 24h 17 '53""",Touriste-Routier
1923,34,Maurice Arnoult (FRA),"+ 25h 32 '25""",Touriste-Routier
1923,35,Charles Loew (FRA),"+ 32h 27 '02""",Touriste-Routier
1923,36,Paul Denis (FRA),"+ 33h 38 '43""",Touriste-Routier
1923,37,Félix Richard (FRA),"+ 33h 42 '23""",Touriste-Routier
1923,38,Henri Miège (SUI),"+ 34h 01 '56""",Touriste-Routier
1923,39,Jean Kienlen (FRA),"+ 35h 07 '38""",Touriste-Routier
1923,40,Giuseppe Ercolani (ITA),"+ 39h 45 '41""",Touriste-Routier
1923,41,Alfred Hersard (FRA),"+ 40h 57 '43""",Touriste-Routier
1923,42,Vincenzo Bianco (ITA),"+ 40h 57 '56""",Touriste-Routier
1923,43,Giuseppe Ruffoni (ITA),"+ 41h 58 '42""",Touriste-Routier
1923,44,Georges Kamm (FRA),"+ 42h 18 '20""",Touriste-Routier
1923,45,Charles Arnulf (FRA),"+ 42h 59 '39""",Touriste-Routier
1923,46,Marcel Simonet (FRA),"+ 43h 32 '35""",Touriste-Routier
1923,47,Maurice Protin (BEL),"+ 44h 53 '46""",Touriste-Routier
1923,48,Daniel Masson (FRA),"+ 48h 31 '07""",Touriste-Routier
1924,1,Ottavio Bottecchia (ITA),"226h 18' 21""",
1924,2,Nicolas Frantz (LUX),"+ 35' 36""",
1924,3,Lucien Buysse (BEL),"+ 1h 32' 13""",
1924,4,Bartolomeo Aimo (ITA),"+ 1h 32' 47""",
1924,5,Théophile Beeckman (BEL),"+ 2h 11' 12""",
1924,6,Joseph Muller (FRA),"+ 2h 35' 33""",
1924,7,Arsène Alancourt (FRA),"+ 2h 41' 31""",
1924,8,Romain Bellenger (FRA),"+ 2h 51' 09""",
1924,9,Omer Huyse (BEL),"+ 2h 58' 13""",
1924,10,Hector Tiberghien (BEL),"+ 3h 05' 04""",
1924,11,Philippe Thys (BEL),"+ 3h 15' 24""",
1924,12,Georges Cuvelier (FRA),"+ 3h 21' 45""",
1924,13,Ermano Vallazza (ITA),"+ 3h 48' 24""",
1924,14,Jean Alavoine (FRA),"+ 3h 55' 45""",
1924,15,Gaston Degy (FRA),"+ 5h 11' 48""",
1924,16,Raymond Englebert (BEL),"+ 5h 20' 11""",
1924,17,Alfons Standaert (BEL),"+ 5h 41' 48""",
1924,18,Louis Mottiat (BEL),"+ 5h 54' 19""",
1924,19,Ottavio Pratesi (ITA),"+ 6h 00' 04""",Touriste-Routier
1924,20,Lucien Rich (FRA),"+ 6h 26' 21""",
1924,21,Émile Hardy (BEL),"+ 6h 43' 13""",
1924,22,Henri Touzard (FRA),"+ 6h 50' 56""",Touriste-Routier
1924,23,Eugène Dhers (FRA),"+ 7h 11' 37""",
1924,24,Henri Ferrara (FRA),"+ 7h 44' 31""",Touriste-Routier
1924,25,Félix Goethals (FRA),"+ 8h 00' 04""",
1924,26,Maurice Arnoult (FRA),"+ 12h 29' 46""",Touriste-Routier
1924,27,René Wendels (BEL),"+ 13h 15' 14""",Touriste-Routier
1924,28,Charles Parel (SUI),"+ 14h 50' 28""",Touriste-Routier
1924,29,Charles Cento (FRA),"+ 15h 16' 18""",Touriste-Routier
1924,30,Jaime Janer (ESP),"+ 15h 24' 08""",Touriste-Routier
1924,31,Giovanni Rossignoli (ITA),"+ 15h 54' 56""",Touriste-Routier
1924,32,Giuseppe Ruffoni (ITA),"+ 16h 11' 51""",Touriste-Routier
1924,33,Marie Aubry (FRA),"+ 16h 52' 38""",Touriste-Routier
1924,34,Enrico Sala (ITA),"+ 19h 06' 49""",Touriste-Routier
1924,35,Jean Martinet (SUI),"+ 19h 11' 39""",Touriste-Routier
1924,36,Luigi Vertemati (ITA),"+ 20h 28' 18""",Touriste-Routier
1924,37,Antoine Riera (FRA),"+ 21h 05' 27""",Touriste-Routier
1924,38,Paul Denis (FRA),"+ 22h 11' 50""",Touriste-Routier
1924,39,Jean Garby (FRA),"+ 22h 29' 17""",Touriste-Routier
1924,40,Henri Catelan (FRA),"+ 22h 29' 21""",Touriste-Routier
1924,41,Angelo Erba (ITA),"+ 23h 22' 06""",Touriste-Routier
1924,42,Victorino Otero (ESP),"+ 24h 06' 31""",Touriste-Routier
1924,43,Robert Loret (FRA),"+ 27h 28' 50""",Touriste-Routier
1924,44,Henri Rubert (FRA),"+ 27h 29' 43""",Touriste-Routier
1924,45,Félix Richard (FRA),"+ 27h 39' 21""",Touriste-Routier
1924,46,Vincenzo Bianco (ITA),"+ 27h 52' 14""",Touriste-Routier
1924,47,Emmanuele Luigi (ITA),"+ 28h 24' 17""",Touriste-Routier
1924,48,Maurice Protin (BEL),"+ 29h 06' 03""",Touriste-Routier
1924,49,Georges Kamm (FRA),"+ 29h 08' 30""",Touriste-Routier
1924,50,Mosè Arosio (ITA),"+ 29h 48' 55""",Touriste-Routier
1924,51,Lucien Prudhomme (FRA),"+ 30h 37' 47""",Touriste-Routier
1924,52,Augusto Rho (ITA),"+ 33h 42' 07""",Touriste-Routier
1924,53,Felice Di Gaetano (ITA),"+ 35h 39' 35""",Touriste-Routier
1924,54,Alfred Hersard (FRA),"+ 36h 42' 45""",Touriste-Routier
1924,55,Laurent Devalle (MON),"+ 36h 46' 37""",Touriste-Routier
1924,56,Henri Miège (SUI),"+ 38h 01' 35""",Touriste-Routier
1924,57,Adrien Toussaint (FRA),"+ 41h 30' 49""",Touriste-Routier
1924,58,François Chevalier (FRA),"+ 43h 17' 24""",Touriste-Routier
1924,59,Louis Millo (FRA),"+ 44h 51' 39""",Touriste-Routier
1924,60,Victor Lafosse (FRA),"+ 45h 12' 05""",Touriste-Routier
1925,1,Ottavio Bottecchia (ITA),"219h 10' 18""",Automoto
1925,2,Lucien Buysse (BEL),"+54' 20""",Automoto
1925,3,Bartolomeo Aimo (ITA),"+56' 37""",Alcyon
1925,4,Nicolas Frantz (LUX),"+1h 11' 24""",Alcyon
1925,5,Albert Dejonghe (BEL),"+1h 27' 42""",J.B. Louvet
1925,6,Théophile Beeckman (BEL),"+2h 24' 43""",Thomann
1925,7,Omer Huyse (BEL),"+2h 33' 38""",Armor
1925,8,Auguste Verdyck (BEL),"+2h 44' 36""",Christophe
1925,9,Félix Sellier (BEL),"+2h 45' 59""",Alcyon
1925,10,Federico Gay (ITA),"+4h 06' 03""",Meteore
1925,11,Romain Bellenger (FRA),"+4h 26' 10""",Alcyon
1925,12,Adelin Benoit (BEL),"+4h 37' 14""",Thomann
1925,13,Jean Alavoine (FRA),"+4h 39' 48""",J.Alavoine
1925,14,Hector Martin (BEL),"+4h 48' 44""",J.B. Louvet
1925,15,Jules Buysse (BEL),"+5h 07' 33""",Automoto
1925,16,Léon Despontin (BEL),"+5h 28' 07""",Touriste
1925,17,Emile Hardy (BEL),"+6h 39' 01""",Christophe
1925,18,Eugène Christophe (FRA),"+6h 55' 31""",J.B. Louvet
1925,19,Giovanni Rossignoli (ITA),"+7h 18' 13""",Touriste
1925,20,Raymond Englebert (BEL),"+7h 30' 06""",Labor
1925,21,Michele Gordini (ITA),"+7h 31' 40""",Touriste
1925,22,Emile Masson Sr. (BEL),"+8h 55' 18""",Alcyon
1925,23,Eugène Dhers (FRA),"+9h 34' 16""",Touriste
1925,24,Henri Touzard (FRA),"+9h 38' 06""",Touriste
1925,25,Alfonso Piccin (ITA),"+9h 47' 24""",Christophe
1925,26,Angelo Gremo (ITA),"+9h 55' 12""",Meteore
1925,27,Giovanni Canova (ITA),"+10h 24' 50""",Touriste
1925,28,Arturo Bresciani (ITA),"+10h 38' 43""",Meteore
1925,29,Charles Martinet (SUI),"+11h 51' 53""",Touriste
1925,30,Maurice Arnoult (FRA),"+12h 26' 04""",Touriste
1925,31,Louis Mottiat (BEL),"+13h 26' 54""",Alcyon
1925,32,Mosé Arosio (ITA),"+15h 23' 17""",Touriste
1925,33,Umberto Berni (ITA),"+15h 49' 19""",Touriste
1925,34,Charles Roux (FRA),"+15h 58' 38""",Touriste
1925,35,Alfons Standaert (BEL),"+16h 09' 19""",Labor
1925,36,Vincenzo Bianco (ITA),"+17h 12' 16""",Touriste
1925,37,Charles Loew (FRA),"+19h 00' 10""",Touriste
1925,38,Antoine Riera (FRA),"+19h 07' 32""",Touriste
1925,39,Henri Rubert (FRA),"+20h 39' 31""",Touriste
1925,40,Charles Krier (LUX),"+21h 20' 40""",Touriste
1925,41,Charles Cento (FRA),"+23h 04' 54""",Touriste
1925,42,Roger Lacolle (FRA),"+23h 32' 54""",Meteore
1925,43,Edouard Teisseire (FRA),"+25h 22' 18""",Touriste
1925,44,Henri Miège (SUI),"+25h 50' 56""",Touriste
1925,45,Edouard Petre (FRA),"+27h 13' 41""",Touriste
1925,46,Lucien Prudhomme (FRA),"+27h 17' 45""",Touriste
1925,47,Arthur Hendryckx (BEL),"+30h 26' 16""",Touriste
1925,48,François Chevalier (FRA),"+34h 24' 36""",Touriste
1925,49,Fernand Besnier (FRA),"+36h 10' 50""",Touriste
1926,1,Lucien Buysse (BEL),"238h 44' 25""",Automoto–Hutchinson
1926,2,Nicolas Frantz (LUX),"+1h 22' 25""",Alcyon–Dunlop
1926,3,Bartolomeo Aimo (ITA),"+1h 22' 51""",Alcyon–Dunlop
1926,4,Théophile Beeckman (BEL),"+1h 43' 54""",Armor–Dunlop
1926,5,Félix Sellier (BEL),"+1h 49' 13""",Alcyon–Dunlop
1926,6,Albert Dejonghe (BEL),"+1h 56' 15""",J.B. Louvet – Wolber
1926,7,Léon Parmentier (BEL),"+2h 09' 20""",Jean Louvet – Hutchinson
1926,8,Georges Cuvelier (FRA),"+2h 28' 32""",Meteore–Wolber
1926,9,Jules Buysse (BEL),"+2h 37' 03""",Automoto–Hutchinson
1926,10,Marcel Bidot (FRA),"+2h 53' 54""",Thomann–Dunlop
1926,11,Odile Tailleu (BEL),"+3h 09' 08""",J.B. Louvet – Wolber
1926,12,Joseph Van Dam (BEL),"+4h 00' 35""",Automoto–Hutchinson
1926,13,Omer Huyse (BEL),"+4h 07' 24""",Automoto–Hutchinson
1926,14,Camille Van de Casteele (BEL),"+4h 28' 19""",J.B. Louvet – Wolber
1926,15,Aimé Dossche (BEL),"+5h 23' 19""",Christophe–Hutchinson
1926,16,Emile Hardy (BEL),"+6h 02' 20""",Christophe–Hutchinson
1926,17,Raymond Englebert (BEL),"+6h 03' 10""",Alcyon–Dunlop
1926,18,Henri Colle (SUI),"+7h 10' 35""",Jean Louvet – Hutchinson
1926,19,Georges Detreille (FRA),"+7h 48' 17""",Meteore–Wolber
1926,20,Omer Vermeulen (BEL),"+7h 49' 44""",Meteore–Wolber
1926,21,Giovanni Rossignoli (ITA),"+8h 23' 29""",
1926,22,Alfons Standaert (BEL),"+9h 37' 02""",Armor–Dunlop
1926,23,Benoit Faure (FRA),"+9h 35' 44""",Meteore–Wolber
1926,24,Henri Touzard (FRA),"+9h 36' 34""",
1926,25,Léon Devos (BEL),"+10h 05' 23""",Thomann–Dunlop
1926,26,Jan Mertens (BEL),"+10h 27' 05""",Labor–Dunlop
1926,27,Paul Duboc (FRA),"+10h 30' 47""",
1926,28,Louis Delannoy (BEL),"+10h 41' 09""",Labor–Dunlop
1926,29,Eugène Dhers (FRA),"+11h 26' 16""",
1926,30,Carlo Longoni (ITA),"+11h 50' 56""",
1926,31,Charles Martinet (SUI),"+12h 56' 13""",
1926,32,Fernand Saive (BEL),"+13h 59' 59""",Meteore–Wolber
1926,33,Maurice Arnoult (FRA),"+14h 24' 52""",
1926,34,Henri Catelan (FRA),"+15h 53' 32""",
1926,35,Mosé Arosio (ITA),"+17h 12' 30""",
1926,36,Fernand Moulet (FRA),"+18h 00' 43""",Meteore–Wolber
1926,37,Alfred Francini (ITA),"+18h 18' 25""",
1926,38,Edouard Teisseire (FRA),"+19h 14' 17""",
1926,39,Henri Ferrara (FRA),"+21h 00' 22""",
1926,40,Jules Gillard (SUI),"+22h 47' 44""",
1926,41,André Drobecq (FRA),"+24h 59' 03""",
1927,1,Nicolas Frantz (LUX),"198h 16' 42""",Alcyon–Dunlop
1927,2,Maurice De Waele (BEL),"+ 1h 48' 21""",Labor–Dunlop
1927,3,Julien Vervaecke (BEL),"+ 2h 25' 06""",Armor–Dunlop
1927,4,André Leducq (FRA),"+ 3h 02' 05""",Thomann–Dunlop
1927,5,Adelin Benoit (BEL),"+ 4h 45' 01""",Alcyon–Dunlop
1927,6,Antonin Magne (FRA),"+ 4h 48' 23""",Alleluia–Wolber
1927,7,Pé Verhaegen (BEL),"+ 6h 18' 36""",J.B. Louvet
1927,8,Julien Moineau (FRA),"+ 6h 36' 17""",Alleluia–Wolber
1927,9,Hector Martin (BEL),"+ 7h 07' 34""",J.B. Louvet
1927,10,Maurice Geldhof (BEL),"+ 7h 16' 02""",J.B. Louvet
1927,11,Raymond Decorte (BEL),"+ 8h 17' 12""",J.B. Louvet
1927,12,Louis Muller (BEL),"+ 8h 27' 49""",Armor–Dunlop
1927,13,Jan Debusschere (BEL),"+ 10h 51' 56""",Alcyon–Dunlop
1927,14,Gustaaf Van Slembrouck (BEL),"+ 11h 01' 54""",J.B. Louvet
1927,15,Pierre Magne (FRA),"+ 12h 12' 37""",Alleluia–Wolber
1927,16,Louis Delannoy (BEL),"+ 13h 28' 02""",Labor–Dunlop
1927,17,Jos Hemelsoet (BEL),"+ 14h 08' 18""",J.B. Louvet
1927,18,Secondo Martinetto (ITA),"+ 14h 37' 12""",Touriste-Routier
1927,19,Henri Touzard (FRA),"+ 15h 08' 03""",Touriste-Routier
1927,20,José Pelletier (FRA),"+ 15h 52' 28""",Touriste-Routier
1927,21,Maurice Arnoult (FRA),"+ 16h 05' 01""",Touriste-Routier
1927,22,Charles Martinet (SUI),"+ 16h 53' 36""",Touriste-Routier
1927,23,Albert Jordens (BEL),"+ 17h 18' 48""",Touriste-Routier
1927,24,Michele Gordini (ITA),"+ 17h 21' 11""",Touriste-Routier
1927,25,Giovanni Canova (ITA),"+ 17h 52' 52""",Touriste-Routier
1927,26,André Devauchelle (FRA),"+ 18h 02' 10""",Alleluia–Wolber
1927,27,Charles Krier (LUX),"+ 20h 42' 32""",Touriste-Routier
1927,28,Léon Despontin (BEL),"+ 21h 15' 02""",Touriste-Routier
1927,29,Giuseppe Rivella (ITA),"+ 22h 14' 26""",Touriste-Routier
1927,30,Marcel Gendrin (FRA),"+ 22h 20' 35""",Touriste-Routier
1927,31,Omer Mahy (BEL),"+ 22h 27' 49""",Touriste-Routier
1927,32,Giovanni Rossignoli (ITA),"+ 22h 31' 18""",Touriste-Routier
1927,33,Camille Segers (BEL),"+ 22h 52' 35""",Touriste-Routier
1927,34,Edoaurd Teisseire (FRA),"+ 23h 59' 59""",Touriste-Routier
1927,35,Jules Nempon (FRA),"+ 25h 39' 05""",Touriste-Routier
1927,36,Amand Goubert (FRA),"+ 27h 04' 27""",Touriste-Routier
1927,37,André Drobecq (FRA),"+ 27h 10' 20""",Touriste-Routier
1927,38,Pierre Claes (BEL),"+ 29h 12' 19""",Touriste-Routier
1927,39,Jacques Pfister (FRA),"+ 30h 03' 51""",Touriste-Routier
1928,1,Nicolas Frantz (LUX),"192h 48' 58""",Alcyon–Dunlop
1928,2,André Leducq (FRA),"+ 50' 07""",Alcyon–Dunlop
1928,3,Maurice De Waele (BEL),"+ 56' 16""",Alcyon–Dunlop
1928,4,Jan Mertens (BEL),"+ 1h 19' 18""",Thomann–Dunlop
1928,5,Julien Vervaecke (BEL),"+ 1h 53' 32""",Armor–Dunlop
1928,6,Antonin Magne (FRA),"+ 2h 14' 02""",Alleluia–Wolber
1928,7,Victor Fontan (FRA),"+ 5h 07' 47""",Elvish–Wolber
1928,8,Marcel Bidot (FRA),"+ 5h 18' 28""",Alleluia–Wolber
1928,9,Marcel Huot (FRA),"+ 5h 37' 33""",Alleluia–Wolber
1928,10,Pierre Magne (FRA),"+ 5h 41' 20""",Alleluia–Wolber
1928,11,Joseph Mauclair (FRA),"+ 5h 44' 01""",Armor–Dunlop
1928,12,Gaston Rebry (BEL),"+ 5h 53' 44""",Alcyon–Dunlop
1928,13,Louis Delannoy (BEL),"+ 6h 11' 35""",Armor–Dunlop
1928,14,Camille Van de Casteele (BEL),"+ 6h 52' 55""",J.B. Louvet-Hutchinson
1928,15,Salvador Cardona (ESP),"+ 7h 33' 47""",Elvish–Wolber
1928,16,Pé Verhaegen (BEL),"+ 7h 39' 56""",J.B. Louvet-Hutchinson
1928,17,Julien Moineau (FRA),"+ 8h 03' 23""",Alleluia–Wolber
1928,18,Hubert Opperman (AUS),"+ 8h 34' 25""",Ravat-Wonder-Dunlop
1928,19,Désiré Louesse (BEL),"+ 9h 27' 21""",Alcyon–Dunlop
1928,20,Odiel Taillieu (BEL),"+ 10h 23' 18""",J.B. Louvet-Hutchinson
1928,21,Jean Mouveroux (FRA),"+ 10h 49' 53""",Fontan-Wolber
1928,22,Jean Bidot (FRA),"+ 10h 56' 30""",Alleluia–Wolber
1928,23,Marcel Autaa (FRA),"+ 11h 42' 40""",Fontan-Wolber
1928,24,Raymond Decorte (BEL),"+ 12h 27' 02""",J.B. Louvet-Hutchinson
1928,25,Paul Filliat (FRA),"+ 15h 51' 56""",South-East France
1928,26,Raphael Calmette (FRA),"+ 15h 55' 08""",Fontan-Wolber
1928,27,Maurice Arnoult (FRA),"+ 16h 25' 04""",Normandy
1928,28,Harry Watson (NZL),"+ 16h 53' 32""",Ravat-Wonder-Dunlop
1928,29,Lucien Laval (FRA),"+ 16h 53' 55""",Elvish–Wolber
1928,30,Marcel Colleu (FRA),"+ 17h 04' 01""",Alsace-Lorraine
1928,31,Amand Goubert (FRA),"+ 18h 50' 20""",North France
1928,32,René Hamel (FRA),"+ 19h 10' 18""",J.B. Louvet-Hutchinson
1928,33,Paul Delbart (FRA),"+ 19h 51' 17""",Champagne
1928,34,Henri François (FRA),"+ 20h 02' 46""",Champagne
1928,35,Fernand Moulet (FRA),"+ 20h 10' 21""",Champagne
1928,36,Raphael Dupau (FRA),"+ 20h 47' 54""",Fontan-Wolber
1928,37,François Menta (FRA),"+ 21h 05' 32""",Côte d'Azur
1928,38,Percy Osborn (AUS),"+ 22h 01' 49""",Ravat-Wonder-Dunlop
1928,39,Fernand Fayolle (FRA),"+ 24h 02' 10""",Côte d'Azur
1928,40,Lucien Lange (FRA),"+ 25h 30' 57""",Alsace-Lorraine
1928,41,Edouard Persin (FRA),"+ 26h 56' 19""",Champagne
1929,1,Maurice De Waele (BEL),"186h 39' 15""",Alcyon
1929,2,Giuseppe Pancera (ITA),"+ 44' 23""",La Rafale
1929,3,Joseph Demuysere (BEL),"+ 57' 10""",Lucifer
1929,4,Salvador Cardona (ESP),"+ 57' 46""",Fontan–Wolber
1929,5,Nicolas Frantz (LUX),"+ 58' 00""",Alcyon
1929,6,Louis Delannoy (BEL),"+1h 06' 09""",La Française
1929,7,Antonin Magne (FRA),"+1h 08' 00""",Alleluia–Wolber
1929,8,Julien Vervaecke (BEL),"+2h 01' 37""",Alcyon
1929,9,Pierre Magne (FRA),"+2h 03' 00""",Alleluia–Wolber
1929,10,Gaston Rebry (BEL),"+2h 17' 49""",Alcyon
1929,11,André Leducq (FRA),"+ 2h 24' 51""",Alcyon
1929,12,Frans Bonduel (BEL),"+ 2h 52' 35""",Dilecta-Wolber
1929,13,Désiré Louesse (BEL),"+ 2h 52' 57""",Fontan–Wolber
1929,14,Bernard Van Rysselberghe (BEL),"+ 3h 06' 23""",Dilecta-Wolber
1929,15,Benoit Faure (FRA),"+ 3h 33' 29""",Touriste-Routier
1929,16,Marcel Bidot (FRA),"+ 3h 40' 49""",La Française
1929,17,Armand Van Bruaene (BEL),"+ 4h 11' 54""",De Dion Bouton-Wolber
1929,18,Charles Govaert (BEL),"+ 4h 14' 24""",Elvish-Wolber
1929,19,Francis Bouillet (FRA),"+ 5h 07' 51""",Lucifer
1929,20,Ernest Neuhard (FRA),"+ 5h 45' 12""",De Dion Bouton-Wolber
1929,21,Omer Taverne (BEL),"+ 5h 49' 39""",Touriste-Routier
1929,22,Léon Chene (FRA),"+ 6h 00' 07""",Alleluia–Wolber
1929,23,Jules Merviel (FRA),"+ 6h 05' 02""",La Rafale
1929,24,Mario Pomposi (ITA),"+ 6h 14' 09""",Dilecta-Wolber
1929,25,Georges Laloup (FRA),"+ 6h 30' 50""",Touriste-Routier
1929,26,Settimo Innocenti (ITA),"+ 6h 43' 53""",La Rafale
1929,27,Julien Perrain (FRA),"+ 8h 31' 45""",Elvish-Wolber
1929,28,Charles Pélissier (FRA),"+ 8h 54' 03""",J.B. Louvet-Wolber
1929,29,Georges Berton (FRA),"+ 8h 55' 50""",Touriste-Routier
1929,30,Roger Gregoire (FRA),"+ 9h 50' 15""",Lucifer
1929,31,Hector Denis (FRA),"+ 10h 26' 25""",Touriste-Routier
1929,32,Charles Martinet (SUI),"+ 10h 33' 00""",Touriste-Routier
1929,33,Auguste Encrine (FRA),"+ 11h 32' 17""",Touriste-Routier
1929,34,Albert Jordens (BEL),"+ 11h 35' 10""",Touriste-Routier
1929,35,Adrien Plautin (FRA),"+ 11h 36' 51""",Touriste-Routier
1929,36,Jean Preuss (FRA),"+ 12h 13' 56""",Touriste-Routier
1929,37,Guerrino Canova (ITA),"+ 12h 22' 38""",Touriste-Routier
1929,38,François Moreels (FRA),"+ 12h 38' 15""",Touriste-Routier
1929,39,Henri Touzard (FRA),"+ 12h 41' 44""",Touriste-Routier
1929,40,Roger Lebas (FRA),"+ 13h 08' 33""",Touriste-Routier
1929,41,Marcel Mazeyrat (FRA),"+ 13h 27' 23""",Touriste-Routier
1929,42,Leopold Boisselle (FRA),"+ 13h 49' 49""",Touriste-Routier
1929,43,Guy Bariffi (SUI),"+ 14h 07' 34""",Touriste-Routier
1929,44,Paul Delbart (FRA),"+ 15h 06' 16""",Touriste-Routier
1929,45,Henri Thomas (FRA),"+ 16h 27' 38""",Touriste-Routier
1929,46,Robert Recordon (SUI),"+ 16h 36' 50""",Touriste-Routier
1929,47,Eugène Greau (FRA),"+ 16h 49' 47""",Touriste-Routier
1929,48,Edouard Teisseire (FRA),"+ 17h 09' 50""",Touriste-Routier
1929,49,Battista Berardi (ITA),"+ 19h 14' 16""",Touriste-Routier
1929,50,Georges Petit (FRA),"+ 19h 57' 59""",Touriste-Routier
1929,51,Eugen Werner (SUI),"+ 21h 20' 17""",Touriste-Routier
1929,52,Marcel Masson (FRA),"+ 21h 52' 55""",Touriste-Routier
1929,53,Henri Prevost (FRA),"+ 22h 14' 52""",Touriste-Routier
1929,54,Marcel Gendrin (FRA),"+ 22h 24' 53""",Touriste-Routier
1929,55,François Ondet (FRA),"+ 22h 30' 00""",Touriste-Routier
1929,56,Charles Cottalorda (FRA),"+ 23h 06' 13""",Touriste-Routier
1929,57,Emile Faillu (FRA),"+ 24h 50' 41""",Touriste-Routier
1929,58,Paul Denis (FRA),"+ 25h 17' 57""",Touriste-Routier
1929,59,Marcel Ilpide (FRA),"+ 26h 08' 50""",Touriste-Routier
1929,60,André Leger (FRA),"+ 31h 37' 55""",Touriste-Routier
1930,1,André Leducq (FRA),"172h 12' 16""",France
1930,2,Learco Guerra (ITA),"+ 14' 13""",Italy
1930,3,Antonin Magne (FRA),"+ 16' 03""",France
1930,4,Jef Demuysere (BEL),"+ 21' 34""",Belgium
1930,5,Marcel Bidot (FRA),"+ 41' 18""",France
1930,6,Pierre Magne (FRA),"+ 45' 42""",France
1930,7,Frans Bonduel (BEL),"+ 56' 19""",Belgium
1930,8,Benoît Faure (FRA),"+ 58' 34""",Touriste-routier (South-East)
1930,9,Charles Pélissier (FRA),"+ 1h 04' 37""",France
1930,10,Adolf Schön (GER),"+ 1h 21' 39""",Germany
1930,11,Louis Delannoy (BEL),"+ 1h 27' 23""",Belgium
1930,12,Aimé Dossche (BEL),"+ 1h 28' 14""",Belgium
1930,13,Oskar Thierbach (GER),"+ 1h 35' 34""",Germany
1930,14,Louis Peglion (FRA),"+ 1h 44' 14""",Touriste-routier (Provence)
1930,15,Jan Mertens (BEL),"+ 1h 49' 24""",Belgium
1930,16,Salvador Cardona (ESP),"+ 1h 59' 43""",Spain
1930,17,Valeriano Riera (ESP),"+ 2h 23' 09""",Spain
1930,18,Marcel Mazeyrat (FRA),"+ 2h 25' 23""",Touriste-routier (South-East)
1930,19,Georges Laloup (BEL),"+ 2h 31' 37""",Belgium
1930,20,Giuseppe Pancera (ITA),"+ 2h 33' 51""",Italy
1930,21,Jules Merviel (FRA),"+ 2h 43' 42""",France
1930,22,Felix Manthey (GER),"+ 3h 10' 37""",Germany
1930,23,Georges Berton (FRA),"+ 3h 17' 11""",Touriste-routier (Champagne)
1930,24,Vicente Trueba (ESP),"+ 3h 17' 19""",Spain
1930,25,François Moreels (FRA),"+ 3h 20' 30""",Touriste-routier (Ile de France)
1930,26,Jean Goulême (FRA),"+ 3h 36' 31""",Touriste-routier (Midi)
1930,27,Francisco Cepeda (ESP),"+ 3h 54' 47""",Spain
1930,28,François Ondet (FRA),"+ 4h 06' 40""",Touriste-routier
1930,29,Louis Bajard (FRA),"+ 4h 09' 09""",Touriste-Routier (South-East)
1930,30,Omer Taverne (BEL),"+ 4h 23' 52""",Belgium
1930,31,Marco Giuntelli (ITA),"+ 4h 41' 30""",Italy
