Year,Date,Stage,Course,Distance,Type,Winner
1925,1925-07-15,16,Mulhouse to Metz,334 km (208 mi),Plain stage,Hector Martin (BEL)
1925,1925-07-17,17,Metz to Dunkerque,433 km (269 mi),Plain stage,Hector Martin (BEL)
1925,1925-07-19,18,Dunkerque to Paris,343 km (213 mi),Plain stage,Ottavio Bottecchia (ITA)
1926,1926-06-20,1,Evian to Mülhausen,373 km (232 mi),Plain stage,Jules Buysse (BEL)
1926,1926-06-22,2,Mülhausen to Metz,334 km (208 mi),Plain stage,Aimé Dossche (BEL)
1926,1926-06-24,3,Metz to Dunkerque,433 km (269 mi),Plain stage,Gustaaf van Slembrouck (BEL)
1926,1926-06-26,4,Dunkerque to Le Havre,361 km (224 mi),Plain stage,Félix Sellier (BEL)
1926,1926-06-28,5,Le Havre to Cherbourg-en-Cotentin,357 km (222 mi),Plain stage,Adelin Benoit (BEL)
1926,1926-06-30,6,Cherbourg to Brest,405 km (252 mi),Plain stage,Joseph van Dam (BEL)
1926,1926-07-02,7,Brest to Les Sables d'Olonne,412 km (256 mi),Plain stage,Nicolas Frantz (LUX)
1926,1926-07-03,8,Les Sables d'Olonne to Bordeaux,285 km (177 mi),Plain stage,Joseph van Dam (BEL)
1926,1926-07-04,9,Bordeaux to Bayonne,189 km (117 mi),Plain stage,Nicolas Frantz (LUX)
1926,1926-07-06,10,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Lucien Buysse (BEL)
1926,1926-07-08,11,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Lucien Buysse (BEL)
1926,1926-07-10,12,Perpignan to Toulon,427 km (265 mi),Plain stage,Nicolas Frantz (LUX)
1926,1926-07-12,13,Toulon to Nice,280 km (170 mi),Plain stage,Nicolas Frantz (LUX)
1926,1926-07-14,14,Nice to Briançon,275 km (171 mi),Stage with mountain(s),Bartolomeo Aimo (ITA)
1926,1926-07-16,15,Briançon to Evian,303 km (188 mi),Stage with mountain(s),Joseph van Dam (BEL)
1926,1926-07-17,16,Evian to Dijon,321 km (199 mi),Plain stage,Camille van de Casteele (BEL)
1926,1926-07-18,17,Dijon to Paris,341 km (212 mi),Plain stage,Aimé Dossche (BEL)
1927,1927-06-19,1,Paris to Dieppe,180 km (110 mi),Team time trial,Francis Pélissier (FRA)
1927,1927-06-20,2,Dieppe to Le Havre,103 km (64 mi),Team time trial,Maurice Dewaele (BEL)
1927,1927-06-21,3,Le Havre to Caen,225 km (140 mi),Team time trial,Hector Martin (BEL)
1927,1927-06-22,4,Caen to Cherbourg-en-Cotentin,140 km (87 mi),Team time trial,Camille van de Casteele (BEL)
1927,1927-06-23,5,Cherbourg to Dinan,199 km (124 mi),Team time trial,Ferdinand Le Drogo (FRA)
1927,1927-06-24,6,Dinan to Brest,206 km (128 mi),Team time trial,André Leducq (FRA)
1927,1927-06-25,7,Brest to Vannes,207 km (129 mi),Team time trial,Gustaaf van Slembrouck (BEL)
1927,1927-06-26,8,Vannes to Les Sables d'Olonne,204 km (127 mi),Team time trial,Raymond Decorte (BEL)
1927,1927-06-27,9,Les Sables d'Olonne to Bordeaux,285 km (177 mi),Team time trial,Adelin Benoit (BEL)
1927,1927-06-28,10,Bordeaux to Bayonne,189 km (117 mi),Plain stage,Pé Verhaegen (BEL)
1927,1927-06-30,11,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Nicolas Frantz (LUX)
1927,1927-07-02,12,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Gustaaf van Slembrouck (BEL)
1927,1927-07-04,13,Perpignan to Marseille,360 km (220 mi),Plain stage,Maurice Dewaele (BEL)
1927,1927-07-05,14,Marseille to Toulon,120 km (75 mi),Team time trial,Antonin Magne (FRA)
1927,1927-07-06,15,Toulon to Nice,220 km (140 mi),Stage with mountain(s),Nicolas Frantz (LUX)
1927,1927-07-08,16,Nice to Briançon,275 km (171 mi),Stage with mountain(s),Julien Vervaecke (BEL)
1927,1927-07-09,17,Briançon to Evian,283 km (176 mi),Stage with mountain(s),Pé Verhaegen (BEL)
1927,1927-07-11,18,Evian to Pontarlier,213 km (132 mi),Team time trial,Adelin Benoit (BEL)
1927,1927-07-12,19,Pontarlier to Belfort,119 km (74 mi),Team time trial,Maurice Geldhof (BEL)
1927,1927-07-13,20,Belfort to Strasbourg,145 km (90 mi),Team time trial,Raymond Decorte (BEL)
1927,1927-07-14,21,Strasbourg to Metz,165 km (103 mi),Team time trial,Nicolas Frantz (LUX)
1927,1927-07-15,22,Metz to Charleville,159 km (99 mi),Team time trial,Hector Martin (BEL)
1927,1927-07-16,23,Charleville to Dunkerque,270 km (170 mi),Team time trial,André Leducq (FRA)
1927,1927-07-17,24,Dunkerque to Paris,344 km (214 mi),Plain stage,André Leducq (FRA)
1928,1928-06-17,1,Paris to Caen,207 km (129 mi),Team time trial,Nicolas Frantz (LUX)
1928,1928-06-18,2,Caen to Cherbourg-en-Cotentin,140 km (87 mi),Team time trial,André Leducq (FRA)
1928,1928-06-19,3,Cherbourg to Dinan,199 km (124 mi),Team time trial,Gaston Rebry (BEL)
1928,1928-06-20,4,Dinan to Brest,206 km (128 mi),Team time trial,Pé Verhaegen (BEL)
1928,1928-06-21,5,Brest to Vannes,208 km (129 mi),Team time trial,Marcel Bidot (FRA)
1928,1928-06-22,6,Vannes to Les Sables d'Olonne,204 km (127 mi),Team time trial,Nicolas Frantz (LUX)
1928,1928-06-23,7,Les Sables d'Olonne to Bordeaux,285 km (177 mi),Team time trial,Victor Fontan (FRA)
1928,1928-06-24,8,Bordeaux to Hendaye,225 km (140 mi),Team time trial,Maurice Dewaele (BEL)
1928,1928-06-26,9,Hendaye to Luchon,387 km (240 mi),Stage with mountain(s),Victor Fontan (FRA)
1928,1928-06-28,10,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),André Leducq (FRA)
1928,1928-06-30,11,Perpignan to Marseille,363 km (226 mi),Plain stage,André Leducq (FRA)
1928,1928-07-02,12,Marseille to Nice,330 km (210 mi),Stage with mountain(s),Nicolas Frantz (LUX)
1928,1928-07-04,13,Nice to Grenoble,333 km (207 mi),Stage with mountain(s),Antonin Magne (FRA)
1928,1928-07-06,14,Grenoble to Evian,329 km (204 mi),Stage with mountain(s),Julien Moineau (FRA)
1928,1928-07-08,15,Evian to Pontarlier,213 km (132 mi),Team time trial,Pierre Magne (FRA)
1928,1928-07-09,16,Pontarlier to Belfort,119 km (74 mi),Team time trial,André Leducq (FRA)
1928,1928-07-10,17,Belfort to Strasbourg,145 km (90 mi),Team time trial,Joseph Mauclair (FRA)
1928,1928-07-11,18,Strasbourg to Metz,165 km (103 mi),Team time trial,Nicolas Frantz (LUX)
1928,1928-07-12,19,Metz to Charleville,159 km (99 mi),Team time trial,Marcel Huot (FRA)
1928,1928-07-13,20,Charleville to Malo-les-Bains,271 km (168 mi),Team time trial,Maurice Dewaele (BEL)
1928,1928-07-14,21,Malo-les-Bains to Dieppe,234 km (145 mi),Team time trial,Antonin Magne (FRA)
1928,1928-07-15,22,Dieppe to Paris,331 km (206 mi),Plain stage,Nicolas Frantz (LUX)
1929,1929-06-30,1,Paris to Caen,206 km (128 mi),Plain stage,Aimé Dossche (BEL)
1929,1929-07-01,2,Caen to Cherbourg-en-Cotentin,140 km (87 mi),Plain stage,André Leducq (FRA)
1929,1929-07-02,3,Cherbourg to Dinan,199 km (124 mi),Plain stage,Omer Taverne (BEL)
1929,1929-07-03,4,Dinan to Brest,206 km (128 mi),Plain stage,Louis Delannoy (BEL)
1929,1929-07-04,5,Brest to Vannes,208 km (129 mi),Plain stage,Gustaaf van Slembrouck (BEL)
1929,1929-07-05,6,Vannes to Les Sables d'Olonne,206 km (128 mi),Plain stage,Paul Le Drogo (FRA)
1929,1929-07-06,7,Les Sables d'Olonne to Bordeaux,285 km (177 mi),Plain stage,Nicolas Frantz (LUX)
1929,1929-07-07,8,Bordeaux to Bayonne,182 km (113 mi),Plain stage,Julien Moineau (FRA)
1929,1929-07-09,9,Bayonne to Luchon,363 km (226 mi),Stage with mountain(s),Salvador Cardona (ESP)
1929,1929-07-11,10,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Jef Demuysere (BEL)
1929,1929-07-13,11,Perpignan to Marseille,366 km (227 mi),Plain stage,André Leducq (FRA)
1929,1929-07-15,12,Marseille to Cannes,191 km (119 mi),Team time trial,Marcel Bidot (FRA)
1929,1929-07-16,13,Cannes to Nice,133 km (83 mi),Stage with mountain(s),Benoît Fauré (FRA)
1929,1929-07-18,14,Nice to Grenoble,333 km (207 mi),Stage with mountain(s),Gaston Rebry (BEL)
1929,1929-07-20,15,Grenoble to Evian,329 km (204 mi),Stage with mountain(s),Julien Vervaecke (BEL)
1929,1929-07-22,16,Evian to Belfort,283 km (176 mi),Stage with mountain(s),Charles Pélissier (FRA)
1929,1929-07-23,17,Belfort to Strasbourg,145 km (90 mi),Plain stage,André Leducq (FRA)
1929,1929-07-24,18,Strasbourg to Metz,165 km (103 mi),Plain stage,André Leducq (FRA)
1929,1929-07-25,19,Metz to Charleville,159 km (99 mi),Team time trial,Bernard van Rysselberghe (BEL)
1929,1929-07-26,20,Charleville to Malo-les-Bains,270 km (170 mi),Team time trial,Maurice Dewaele (BEL)
1929,1929-07-27,21,Malo-les-Bains to Dieppe,234 km (145 mi),Plain stage,André Leducq (FRA)
1929,1929-07-28,22,Dieppe to Paris,332 km (206 mi),Plain stage,Nicolas Frantz (LUX)
1930,1930-07-02,1,Paris to Caen,206 km (128 mi),Plain stage,Charles Pélissier (FRA)
1930,1930-07-03,2,Caen to Dinan,203 km (126 mi),Plain stage,Learco Guerra (ITA)
1930,1930-07-04,3,Dinan to Brest,206 km (128 mi),Plain stage,Charles Pélissier (FRA)
1930,1930-07-05,4,Brest to Vannes,210 km (130 mi),Plain stage,Omer Taverne (BEL)
1930,1930-07-06,5,Vannes to Les Sables d'Olonne,202 km (126 mi),Plain stage,André Leducq (FRA)
1930,1930-07-07,6,Les Sables d'Olonne to Bordeaux,285 km (177 mi),Plain stage,Jean Aerts (BEL)
1930,1930-07-08,7,Bordeaux to Hendaye,222 km (138 mi),Plain stage,Jules Merviel (FRA)
1930,1930-07-09,8,Hendaye to Pau,146 km (91 mi),Plain stage,Alfredo Binda (ITA)
1930,1930-07-10,9,Pau to Luchon,231 km (144 mi),Stage with mountain(s),Alfredo Binda (ITA)
1930,1930-07-12,10,Luchon to Perpignan,322 km (200 mi),Stage with mountain(s),Charles Pélissier (FRA)
1930,1930-07-14,11,Perpignan to Montpellier,164 km (102 mi),Plain stage,Charles Pélissier (FRA)
1930,1930-07-15,12,Montpellier to Marseille,209 km (130 mi),Plain stage,Antonin Magne (FRA)
1930,1930-07-16,13,Marseille to Cannes,181 km (112 mi),Plain stage,Learco Guerra (ITA)
1930,1930-07-17,14,Cannes to Nice,132 km (82 mi),Stage with mountain(s),Louis Peglion (FRA)
1930,1930-07-19,15,Nice to Grenoble,333 km (207 mi),Stage with mountain(s),Learco Guerra (ITA)
1930,1930-07-21,16,Grenoble to Evian,331 km (206 mi),Stage with mountain(s),André Leducq (FRA)
1930,1930-07-23,17,Evian to Belfort,282 km (175 mi),Stage with mountain(s),Frans Bonduel (BEL)
1930,1930-07-24,18,Belfort to Metz,223 km (139 mi),Plain stage,Charles Pélissier (FRA)
1930,1930-07-25,19,Metz to Charleville,159 km (99 mi),Plain stage,Charles Pélissier (FRA)
1930,1930-07-26,20,Charleville to Malo-les-Bains,271 km (168 mi),Plain stage,Charles Pélissier (FRA)
1930,1930-07-27,21,Malo-les-Bains to Paris,300 km (190 mi),Plain stage,Charles Pélissier (FRA)
1931,1931-06-30,1,Paris to Caen,208 km (129 mi),Plain stage,Alfred Haemerlinck (BEL)
1931,1931-07-01,2,Caen to Dinan,212 km (132 mi),Plain stage,Max Bulla (AUT)
1931,1931-07-02,3,Dinan to Brest,206 km (128 mi),Plain stage,Fabio Battesini (ITA)
1931,1931-07-03,4,Brest to Vannes,211 km (131 mi),Plain stage,André Godinat (FRA)
1931,1931-07-04,5,Vannes to Les Sables d'Olonne,202 km (126 mi),Plain stage,Charles Pélissier (FRA)
1931,1931-07-05,6,Les Sables d'Olonne to Bordeaux,338 km (210 mi),Plain stage,Alfred Haemerlinck (BEL)
1931,1931-07-06,7,Bordeaux to Bayonne,180 km (110 mi),Plain stage,Gérard Loncke (BEL)
1931,1931-07-07,8,Bayonne to Pau,106 km (66 mi),Plain stage,Charles Pélissier (FRA)
1931,1931-07-08,9,Pau to Luchon,231 km (144 mi),Stage with mountain(s),Antonin Magne (FRA)
1931,1931-07-10,10,Luchon to Perpignan,322 km (200 mi),Stage with mountain(s),Rafaele di Paco (ITA)
1931,1931-07-12,11,Perpignan to Montpellier,164 km (102 mi),Plain stage,Rafaele di Paco (ITA)
1931,1931-07-13,12,Montpellier to Marseille,207 km (129 mi),Plain stage,Max Bulla (AUT)
1931,1931-07-14,13,Marseille to Cannes,181 km (112 mi),Plain stage,Charles Pélissier (FRA)
1931,1931-07-15,14,Cannes to Nice,132 km (82 mi),Stage with mountain(s),Eugenio Gestri (ITA)
1931,1931-07-17,15,Nice to Gap,233 km (145 mi),Stage with mountain(s),Jef Demuysere (BEL)
1931,1931-07-18,16,Gap to Grenoble,102 km (63 mi),Stage with mountain(s),Charles Pélissier (FRA)
1931,1931-07-19,17,Grenoble to Aix-les-Bains,230 km (140 mi),Stage with mountain(s),Max Bulla (AUT)
1931,1931-07-20,18,Aix-les-Bains to Evian,204 km (127 mi),Stage with mountain(s),Jef Demuysere (BEL)
1931,1931-07-21,19,Evian to Belfort,282 km (175 mi),Stage with mountain(s),Rafaele di Paco (ITA)
1931,1931-07-22,20,Belfort to Colmar,209 km (130 mi),Stage with mountain(s),André Leducq (FRA)
1931,1931-07-23,21,Colmar to Metz,192 km (119 mi),Plain stage,Rafaele di Paco (ITA)
1931,1931-07-24,22,Metz to Charleville,159 km (99 mi),Plain stage,Raffaele di Paco (ITA)
1931,1931-07-25,23,Charleville to Malo-les-Bains,271 km (168 mi),Plain stage,Gaston Rebry (BEL)
1931,1931-07-26,24,Malo-les-Bains to Paris,313 km (194 mi),Plain stage,Charles Pélissier (FRA)
1932,1932-07-06,1,Paris to Caen,208 km (129 mi),Plain stage,Jean Aerts (BEL)
1932,1932-07-07,2,Caen to Nantes,300 km (190 mi),Plain stage,Kurt Stöpel (GER)
1932,1932-07-09,3,Nantes to Bordeaux,387 km (240 mi),Plain stage,André Leducq (FRA)
1932,1932-07-11,4,Bordeaux to Pau,206 km (128 mi),Plain stage,Georges Ronsse (BEL)
1932,1932-07-12,5,Pau to Luchon,229 km (142 mi),Stage with mountain(s),Antonio Pesenti (ITA)
1932,1932-07-14,6,Luchon to Perpignan,322 km (200 mi),Stage with mountain(s),Frans Bonduel (BEL)
1932,1932-07-16,7,Perpignan to Montpellier,168 km (104 mi),Plain stage,Frans Bonduel (BEL)
1932,1932-07-17,8,Montpellier to Marseille,206 km (128 mi),Plain stage,Michele Orecchia (ITA)
1932,1932-07-18,9,Marseille to Cannes,191 km (119 mi),Plain stage,Rafaele di Paco (ITA)
1932,1932-07-19,10,Cannes to Nice,132 km (82 mi),Stage with mountain(s),Francesco Camusso (ITA)
1932,1932-07-21,11,Nice to Gap,233 km (145 mi),Stage with mountain(s),André Leducq (FRA)
1932,1932-07-22,12,Gap to Grenoble,102 km (63 mi),Stage with mountain(s),Roger Lapébie (FRA)
1932,1932-07-23,13,Grenoble to Aix-les-Bains,230 km (140 mi),Stage with mountain(s),André Leducq (FRA)
1932,1932-07-24,14,Aix-les-Bains to Evian,204 km (127 mi),Stage with mountain(s),Rafaele di Paco (ITA)
1932,1932-07-25,15,Evian to Belfort,291 km (181 mi),Stage with mountain(s),André Leducq (FRA)
1932,1932-07-26,16,Belfort to Strasbourg,145 km (90 mi),Plain stage,Gérard Loncke (BEL)
1932,1932-07-27,17,Strasbourg to Metz,165 km (103 mi),Plain stage,Rafaele di Paco (ITA)
1932,1932-07-28,18,Metz to Charleville,159 km (99 mi),Plain stage,Rafaele di Paco (ITA)
1932,1932-07-29,19,Charleville to Malo-les-Bains,271 km (168 mi),Plain stage,Gaston Rebry (BEL)
1932,1932-07-30,20,Malo-les-Bains to Amiens,212 km (132 mi),Plain stage,André Leducq (FRA)
1932,1932-07-31,21,Amiens to Paris,159 km (99 mi),Plain stage,André Leducq (FRA)
1933,1933-06-27,1,Paris to Lille,262 km (163 mi),Plain stage,Maurice Archambaud (FRA)
1933,1933-06-28,2,Lille to Charleville,192 km (119 mi),Plain stage,Learco Guerra (ITA)
1933,1933-06-29,3,Charleville to Metz,166 km (103 mi),Plain stage,Alfons Schepers (BEL)
1933,1933-06-30,4,Metz to Belfort,220 km (140 mi),Stage with mountain(s),Jean Aerts (BEL)
1933,1933-07-01,5,Belfort to Evian,293 km (182 mi),Stage with mountain(s),Léon Louyet (BEL)
1933,1933-07-03,6,Evian to Aix-les-Bains,207 km (129 mi),Stage with mountain(s),Learco Guerra (ITA)
1933,1933-07-04,7,Aix-les-Bains to Grenoble,229 km (142 mi),Stage with mountain(s),Learco Guerra (ITA)
1933,1933-07-05,8,Grenoble to Gap,102 km (63 mi),Stage with mountain(s),Georges Speicher (FRA)
1933,1933-07-06,9,Gap to Digne,227 km (141 mi),Stage with mountain(s),Georges Speicher (FRA)
1933,1933-07-07,10,Digne to Nice,156 km (97 mi),Plain stage,Fernand Cornez (FRA)
1933,1933-07-09,11,Nice to Cannes,128 km (80 mi),Stage with mountain(s),Maurice Archambaud (FRA)
1933,1933-07-10,12,Cannes to Marseille,208 km (129 mi),Plain stage,Georges Speicher (FRA)
1933,1933-07-11,13,Marseille to Montpellier,168 km (104 mi),Plain stage,André Leducq (FRA)
1933,1933-07-12,14,Montpellier to Perpignan,166 km (103 mi),Plain stage,André Leducq (FRA)
1933,1933-07-14,15,Perpignan to Ax-les-Thermes,158 km (98 mi),Stage with mountain(s),Jean Aerts (BEL)
1933,1933-07-15,16,Ax-les-Thermes to Luchon,165 km (103 mi),Stage with mountain(s),Léon Louyet (BEL)
1933,1933-07-16,17,Luchon to Tarbes,91 km (57 mi),Stage with mountain(s),Jean Aerts (BEL)
1933,1933-07-17,18,Tarbes to Pau,185 km (115 mi),Stage with mountain(s),Learco Guerra (ITA)
1933,1933-07-19,19,Pau to Bordeaux,233 km (145 mi),Plain stage,Jean Aerts (BEL)
1933,1933-07-20,20,Bordeaux to La Rochelle,183 km (114 mi),Plain stage,Jean Aerts (BEL)
1933,1933-07-21,21,La Rochelle to Rennes,266 km (165 mi),Plain stage,Jean Aerts (BEL)
1933,1933-07-22,22,Rennes to Caen,169 km (105 mi),Plain stage,René Le Grevès (FRA)
1933,1933-07-23,23,Caen to Paris,222 km (138 mi),Plain stage,Learco Guerra (ITA)
1934,1934-07-03,1,Paris to Lille,262 km (163 mi),Plain stage,Georges Speicher (FRA)
1934,1934-07-04,2,Lille to Charleville,192 km (119 mi),Plain stage,René Le Grevès (FRA)
1934,1934-07-05,3,Charleville to Metz,161 km (100 mi),Plain stage,Roger Lapébie (FRA)
1934,1934-07-06,4,Metz to Belfort,220 km (140 mi),Stage with mountain(s),Roger Lapébie (FRA)
1934,1934-07-07,5,Belfort to Evian,293 km (182 mi),Plain stage,René Le Grevès (FRA) Georges Speicher (FRA)[b]
1934,1934-07-09,6,Evian to Aix-les-Bains,207 km (129 mi),Stage with mountain(s),Georges Speicher (FRA)
1934,1934-07-10,7,Aix-les-Bains to Grenoble,229 km (142 mi),Stage with mountain(s),René Vietto (FRA)
1934,1934-07-11,8,Grenoble to Gap,102 km (63 mi),Stage with mountain(s),Giuseppe Martano (ITA)
1934,1934-07-12,9,Gap to Digne,227 km (141 mi),Stage with mountain(s),René Vietto (FRA)
1934,1934-07-13,10,Digne to Nice,156 km (97 mi),Plain stage,René Le Grevès (FRA)
1934,1934-07-15,11,Nice to Cannes,126 km (78 mi),Stage with mountain(s),René Vietto (FRA)
1934,1934-07-16,12,Cannes to Marseille,195 km (121 mi),Plain stage,Roger Lapébie (FRA)
1934,1934-07-17,13,Marseille to Montpellier,172 km (107 mi),Plain stage,Georges Speicher (FRA)
1934,1934-07-18,14,Montpellier to Perpignan,177 km (110 mi),Plain stage,Roger Lapébie (FRA)
1934,1934-07-20,15,Perpignan to Ax-les-Thermes,158 km (98 mi),Plain stage,Roger Lapébie (FRA)
1934,1934-07-21,16,Ax-les-Thermes to Luchon,165 km (103 mi),Stage with mountain(s),Adriano Vignoli (ITA)
1934,1934-07-22,17,Luchon to Tarbes,91 km (57 mi),Stage with mountain(s),Antonin Magne (FRA)
1934,1934-07-23,18,Tarbes to Pau,172 km (107 mi),Stage with mountain(s),René Vietto (FRA)
1934,1934-07-25,19,Pau to Bordeaux,215 km (134 mi),Plain stage,Ettore Meini (ITA)
1934,1934-07-26,20,Bordeaux to La Rochelle,183 km (114 mi),Plain stage,Georges Speicher (FRA)
1934,1934-07-27,21a,La Rochelle to La Roche sur Yon,81 km (50 mi),Plain stage,René Le Grevès (FRA)
1934,1934-07-27,21b,La Roche sur Yon to Nantes,90 km (56 mi),Individual time trial,Antonin Magne (FRA)
1934,1934-07-28,22,Nantes to Caen,275 km (171 mi),Plain stage,Raymond Louviot (FRA)
1934,1934-07-29,23,Caen to Paris,221 km (137 mi),Plain stage,Sylvère Maes (BEL)
1935,1935-07-04,1,Paris to Lille,262 km (163 mi),Plain stage,Romain Maes (BEL)
1935,1935-07-05,2,Lille to Charleville,192 km (119 mi),Plain stage,Charles Pélissier (FRA)
1935,1935-07-06,3,Charleville to Metz,161 km (100 mi),Plain stage,Rafaele di Paco (ITA)
1935,1935-07-07,4,Metz to Belfort,220 km (140 mi),Stage with mountain(s),Jean Aerts (BEL)
1935,1935-07-08,5a,"Belfort to Geneva, Switzerland",262 km (163 mi),Plain stage,Maurice Archambaud (FRA)
1935,1935-07-08,5b,Geneva to Evian,58 km (36 mi),Individual time trial,Rafaele di Paco (ITA)
1935,1935-07-10,6,Evian to Aix-les-Bains,207 km (129 mi),Stage with mountain(s),René Vietto (FRA)
1935,1935-07-11,7,Aix-les-Bains to Grenoble,229 km (142 mi),Stage with mountain(s),Francesco Camusso (ITA)
1935,1935-07-12,8,Grenoble to Gap,102 km (63 mi),Stage with mountain(s),Jean Aerts (BEL)
